record,duration_h,event_hr,delta_tau,p_tau,p_tau_surrogate,delta_var,delta_ar1,delta_excess3,p_excess3,delta_excess3_w,p_excess3_w,delta_frac_contrib3,p_frac3,mean_lambda,n_surrogates,n_beats,interp_frac,pacing_detected,known_pacing_type,cv_rr,has_weighted,delta_high_level3,high_level3_basal,high_level3_approach,delta_high_level3_w,delta_excess3_unw,event_type,high_level3_approach_w,high_level3_basal_w,mean_excess3_approach,mean_excess3_basal,p_excess3_unw
30,23.999672309027776,7.909166666666667,-0.027423356580893135,3.6777221736144478e-19,0.0,1410.53302902603,-0.2914104301159033,-0.011776582983538952,7.682131118852788e-78,-0.011776582983538952,7.682131118852788e-78,-0.0057388511153296795,0.059215119866638785,0.0,8,128807,0.0038662494625896215,False,none,0.18988147377967834,True,0.0,0.0,0.0,0.0,-0.0052384648581011994,intermediate,0.0,0.0,0.31206472887775655,0.31730319373585775,0.00015561559581296584
31,13.966329210069444,13.966329210069444,-9.349974516323009e-05,0.9704765658600156,0.25,191.48129459999745,-0.09936224852945483,-0.0220719453443734,1.0746276067406643e-222,-0.0220719453443734,1.0746276067406643e-222,-0.00040650667992836453,0.8908671275040118,0.0004400915533025084,8,63217,0.0042551844380795956,False,none,0.11956221610307693,True,0.0,0.0,0.0,0.0,-0.021974917041713504,terminal,0.0,0.0,0.32828629067119874,0.35026120771291225,1.3353236859739982e-45
32,23.999832899305556,16.755,-0.023924549928001432,2.094703151783277e-43,0.0,-204.00245690791593,0.014273536398571152,-0.008836255836902174,5.0730510060526026e-108,-0.008836255836902174,5.0730510060526026e-108,-0.0007657943823523583,0.784131526878925,0.0,8,127199,0.05216236039996147,True,intermittent,0.12372780591249466,True,0.0,0.0,0.0,0.0,-0.008820028607692931,intermediate,0.0,0.0,0.30868856369175557,0.3175085922994485,5.090956898999196e-23
35,23.999677777777777,23.999811197916667,0.015770582557985996,7.182980310521212e-26,0.0,3097.381778198236,-0.04477785062191464,0.003562562274778913,3.1615330769062365e-29,0.003562562274778913,3.1615330769062365e-29,-0.0009947090456819963,0.6830855067692412,0.0,8,100741,0.00985695980489254,False,none,0.28088250756263733,True,0.0,0.0,0.0,0.0,0.004437301136827554,terminal,0.0,0.0,0.338925607349454,0.33448830621262643,5.758396173602996e-10
36,20.324309895833334,18.98361111111111,0.07856955373421465,3.29302590518895e-148,0.0,-3004.640482064464,0.03308961611568641,0.008046411435872036,1.0029566008836096e-17,,,,,,8,77323,0.0009182261419482529,False,none,0.16329215466976166,False,0.0,0.0,0.0,,0.008046411435872036,terminal,,,0.3490584461425726,0.34101203470670055,1.0029566008836096e-17
38,18.30259765625,8.031666666666666,0.08764067003788589,3.4226756274874204e-294,0.0,26403.545544771194,0.09737129228651584,0.04136392657164961,0.0,0.04136392657164961,0.0,-0.01903507985897923,6.960244670000972e-14,0.0007255280878392157,8,74430,0.061252184212207794,False,none,0.42907243967056274,True,0.0,0.0,0.0,0.0,0.04151234266847076,intermediate,0.0,0.0,0.33882352064484866,0.2973111779763779,0.0
45,23.811417100694445,18.154722222222222,0.006628134835075683,0.02437689706451605,0.25,-201.48532414233796,0.12431853902678469,0.004328245928255425,0.003092644947482953,,,,,,8,99137,0.0038734276313334703,False,none,0.11292058974504471,False,0.0,0.0,0.0,,0.004328245928255425,intermediate,,,0.35765718850129247,0.35332894257303704,0.003092644947482953
47,23.59713324652778,6.216944444444445,-0.0025595055779095016,0.4065939077021263,0.25,33474.45162072332,-0.5796647717640514,0.029961137504353308,4.3245073078131786e-68,,,,,,8,92812,0.0017562384018674493,False,none,0.27530720829963684,False,0.0,0.0,0.0,,0.029961137504353308,intermediate,,,0.3307291106725263,0.300767973168173,4.3245073078131786e-68
50,23.126861979166666,11.761944444444444,0.07224213389545515,4.793918153161111e-77,0.0,33714.43649652749,0.05218109076196706,-0.0033493294742307778,0.000918332988859114,,,,,,8,64253,0.010692107491195202,False,none,0.25662073493003845,False,0.0,0.0,0.0,,-0.0033493294742307778,intermediate,,,0.33424563451766753,0.3375949639918983,0.000918332988859114
51,23.999605034722222,22.973055555555554,-0.056892007525461086,6.874584270988857e-28,0.0,-687.9255022260113,0.05853110076110801,-0.03224104380417936,0.0,-0.03224104380417936,0.0,0.003682373630915503,0.2923536548840401,0.00947944200588353,8,77931,0.0004362833860795945,True,intermittent,0.13918983936309814,True,0.0,0.0,0.0,0.0,-0.03216873068899373,terminal,0.0,0.0,0.30505627667495616,0.3372250073639499,1.1420386446577421e-121
