source_db,record_id,metric,is_control,total_hours_used,basal_start,basal_end,z_threshold,min_consecutive,theta3,high_threshold,W_TAU,stride,n_episodes,first_alarm_hr,search_hours,alarmed,basal_mean,basal_std
nsrdb,16265,tau_s,1,11.99993923611111,0.25,2.0,2.0,3,0.08,0.65,101,5,15.0,2.0523914930555556,9.99993923611111,1.0,0.15908446128261325,0.09494030314426145
nsrdb,16265,excess3,1,11.99993923611111,0.25,2.0,2.0,3,0.08,0.65,101,5,18.0,2.196775173611111,9.99993923611111,1.0,0.25645967274442105,0.03192611133819913
nsrdb,16272,tau_s,1,11.999739583333334,0.25,2.0,2.0,3,0.08,0.65,101,5,16.0,2.040835503472222,9.999739583333334,1.0,0.03322457245724573,0.08335131820032989
nsrdb,16272,excess3,1,11.999739583333334,0.25,2.0,2.0,3,0.08,0.65,101,5,12.0,2.031430121527778,9.999739583333334,1.0,0.275982300172622,0.038459286310508975
nsrdb,16273,tau_s,1,11.999830729166666,0.25,2.0,2.0,3,0.08,0.65,101,5,13.0,2.911779513888889,9.999830729166666,1.0,0.003688891853055484,0.1304580933384595
nsrdb,16273,excess3,1,11.999830729166666,0.25,2.0,2.0,3,0.08,0.65,101,5,8.0,3.0125086805555554,9.999830729166666,1.0,0.33215511169189504,0.05937792734232393
nsrdb,16420,tau_s,1,11.999867621527779,0.25,2.0,2.0,3,0.08,0.65,101,5,10.0,2.178591579861111,9.999867621527779,1.0,-0.02306895993337651,0.13753503063492312
nsrdb,16420,excess3,1,11.999867621527779,0.25,2.0,2.0,3,0.08,0.65,101,5,7.0,2.0237326388888888,9.999867621527779,1.0,0.31224278908602066,0.06490217461908018
nsrdb,16483,tau_s,1,11.999934895833333,0.25,2.0,2.0,3,0.08,0.65,101,5,18.0,2.055475260416667,9.999934895833333,1.0,0.08838180223085601,0.08106166844150663
nsrdb,16483,excess3,1,11.999934895833333,0.25,2.0,2.0,3,0.08,0.65,101,5,13.0,2.0799544270833334,9.999934895833333,1.0,0.2925771118325478,0.04504530388224716
nsrdb,16539,tau_s,1,11.999945746527779,0.25,2.0,2.0,3,0.08,0.65,101,5,14.0,2.1512521701388887,9.999945746527779,1.0,0.28270557582073996,0.10475986565131587
nsrdb,16539,excess3,1,11.999945746527779,0.25,2.0,2.0,3,0.08,0.65,101,5,14.0,2.4510980902777777,9.999945746527779,1.0,0.32696485456489255,0.0621589503255261
