record_id,total_hours_npz,n_beats,interp_frac,include,tau_s_episodes,excess3_episodes,total_hours_used,search_hours_tau_s
16265,22.239444732666016,100242,0.0003192274598404765,1,15,18,11.99993923611111,9.99993923611111
16272,23.443344116210938,87757,0.005708946380764246,1,16,12,11.999739583333334,9.999739583333334
16273,20.65237045288086,89844,0.0,1,13,8,11.999830729166666,9.999830729166666
16420,21.60040855407715,102066,2.9392746000667103e-05,1,10,7,11.999867621527779,9.999867621527779
16483,21.138713836669922,104333,9.584695362718776e-06,1,18,13,11.999934895833333,9.999934895833333
16539,23.51938819885254,108281,0.0,1,14,14,11.999945746527779,9.999945746527779
16773,21.70595932006836,81988,0.0,1,16,18,11.999856770833333,9.999856770833333
16786,23.347740173339844,101614,3.9364655094686896e-05,1,12,12,11.999967447916667,9.999967447916667
16795,20.759639739990234,86871,2.302264329046011e-05,1,8,13,11.99980685763889,9.99980685763889
17052,21.22218894958496,87355,0.0003205311659257859,1,12,12,11.999793836805555,9.999793836805555
17453,20.689529418945312,100657,1.986945790122263e-05,1,10,16,11.999845920138888,9.999845920138888
18177,22.473125457763672,115910,0.00024156672589015216,1,19,13,11.999874131944445,9.999874131944445
18184,20.89712905883789,102312,4.887012255494483e-05,1,12,14,11.999989149305556,9.999989149305556
19088,20.17034149169922,97960,0.0013679052935913205,1,14,13,12.0,10.0
19090,19.231691360473633,81390,0.00028258998645469546,1,16,11,11.999791666666667,9.999791666666667
19093,20.06570816040039,75105,0.00017309100076090544,1,14,16,11.999776475694444,9.999776475694444
19140,20.010717391967773,96595,0.000196697554201819,1,16,14,11.999954427083333,9.999954427083333
19830,21.10127830505371,109331,0.0009603863582015038,1,18,18,11.99998046875,9.99998046875
