metric,horizon_h,detection_rate,n_detected,n_records
ar1,0.5,1.0,10.0,10.0
ar1,1.0,1.0,10.0,10.0
ar1,2.0,1.0,10.0,10.0
ar1,3.0,0.9,9.0,10.0
ar1,6.0,0.5,5.0,10.0
ar1,12.0,0.0,0.0,10.0
excess3,0.5,1.0,10.0,10.0
excess3,1.0,1.0,10.0,10.0
excess3,2.0,1.0,10.0,10.0
excess3,3.0,0.9,9.0,10.0
excess3,6.0,0.7,7.0,10.0
excess3,12.0,0.0,0.0,10.0
tau_s,0.5,1.0,10.0,10.0
tau_s,1.0,1.0,10.0,10.0
tau_s,2.0,1.0,10.0,10.0
tau_s,3.0,0.9,9.0,10.0
tau_s,6.0,0.4,4.0,10.0
tau_s,12.0,0.0,0.0,10.0
var,0.5,0.9,9.0,10.0
var,1.0,0.9,9.0,10.0
var,2.0,0.9,9.0,10.0
var,3.0,0.7,7.0,10.0
var,6.0,0.2,2.0,10.0
var,12.0,0.0,0.0,10.0
