record_id,source_path,skipped,total_hours_used,basal_start,basal_end,search_start,search_end,refractory_h,n_symbols,K,basal_idx_start,basal_idx_end,opc_n_episodes,opc_search_hours,opc_first_alarm_hr,opc_alarmed,opc_far_per_24h,sdd_n_episodes,sdd_search_hours,sdd_first_alarm_hr,sdd_alarmed,sdd_far_per_24h,absz_n_episodes,absz_search_hours,absz_first_alarm_hr,absz_alarmed,absz_far_per_24h,absz_z_threshold,absz_min_consecutive,fusion
16265,nsrdb_16265_clean.npz,False,11.99993923611111,0.25,2.0,2.0,11.99993923611111,0.5,61579,36,1455,10444,0.0,9.99993923611111,nan,0.0,0.0,19.0,9.99993923611111,2.0223263888888887,1.0,45.60027708501701,15.0,9.99993923611111,2.0523914930555556,1.0,36.00021875132922,2.0,3,False
16272,nsrdb_16272_clean.npz,False,11.999739583333334,0.25,2.0,2.0,11.999739583333334,0.5,44722,36,931,7090,0.0,9.999739583333334,nan,0.0,0.0,19.0,9.999739583333334,2.0369466145833335,1.0,45.60118753092529,16.0,9.999739583333334,2.040835503472222,1.0,38.40100002604235,2.0,3,False
16273,nsrdb_16273_clean.npz,False,11.999830729166666,0.25,2.0,2.0,11.999830729166666,0.5,56188,36,1389,9557,0.0,9.999830729166666,nan,0.0,0.0,20.0,9.999830729166666,2.045121527777778,1.0,48.000812513753495,13.0,9.999830729166666,2.911779513888889,1.0,31.20052813393977,2.0,3,False
16420,nsrdb_16420_clean.npz,False,11.999867621527779,0.25,2.0,2.0,11.999867621527779,0.5,60906,36,1296,9858,6.0,9.999867621527779,2.025071614583333,1.0,14.400190627523497,19.0,9.999867621527779,2.0208984375,1.0,45.60060365382441,10.0,9.999867621527779,2.178591579861111,1.0,24.000317712539164,2.0,3,False
16483,nsrdb_16483_clean.npz,False,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,36,1336,11212,6.0,9.999934895833333,3.5763650173611112,1.0,14.400093750610356,19.0,9.999934895833333,2.067131076388889,1.0,45.600296876932795,18.0,9.999934895833333,2.055475260416667,1.0,43.20028125183107,2.0,3,False
16539,nsrdb_16539_clean.npz,False,11.999945746527779,0.25,2.0,2.0,11.999945746527779,0.5,58645,36,1249,8377,0.0,9.999945746527779,nan,0.0,0.0,20.0,9.999945746527779,2.0417274305555555,1.0,48.00026041807952,14.0,9.999945746527779,2.1512521701388887,1.0,33.60018229265567,2.0,3,False
16773,nsrdb_16773_clean.npz,False,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,36,1116,8959,0.0,9.999856770833333,nan,0.0,0.0,19.0,9.999856770833333,2.0251888020833335,1.0,45.600653134354786,16.0,9.999856770833333,2.093450520833333,1.0,38.40055000787772,2.0,3,False
16786,nsrdb_16786_clean.npz,False,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,36,1098,8798,0.0,9.999967447916667,nan,0.0,0.0,20.0,9.999967447916667,2.0171549479166666,1.0,48.000156250508624,12.0,9.999967447916667,2.067421875,1.0,28.800093750305177,2.0,3,False
16795,nsrdb_16795_clean.npz,False,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,36,1054,9382,0.0,9.99980685763889,nan,0.0,0.0,19.0,9.99980685763889,2.007341579861111,1.0,45.6008807461776,8.0,9.99980685763889,3.324826388888889,1.0,19.200370840495832,2.0,3,False
17052,nsrdb_17052_clean.npz,False,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,36,1249,8192,4.0,9.999793836805555,3.316443142361111,1.0,9.600197920747064,19.0,9.999793836805555,2.12525390625,1.0,45.600940123548554,12.0,9.999793836805555,2.483159722222222,1.0,28.800593762241192,2.0,3,False
17453,nsrdb_17453_clean.npz,False,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,36,1174,10306,0.0,9.999845920138888,nan,0.0,0.0,19.0,9.999845920138888,2.0582486979166665,1.0,45.60070261499256,10.0,9.999845920138888,2.7635677083333334,1.0,24.0003697973645,2.0,3,False
18177,nsrdb_18177_clean.npz,False,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,36,1630,10955,0.0,9.999874131944445,nan,0.0,0.0,20.0,9.999874131944445,2.011052517361111,1.0,48.00060417427129,19.0,9.999874131944445,2.0935546875,1.0,45.60057396555773,2.0,3,False
18184,nsrdb_18184_clean.npz,False,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,36,1374,10085,2.0,9.999989149305556,2.632243923611111,1.0,4.800005208338984,19.0,9.999989149305556,2.0436827256944445,1.0,45.60004947922036,12.0,9.999989149305556,2.087384982638889,1.0,28.80003125003391,2.0,3,False
19088,nsrdb_19088_clean.npz,False,12.0,0.25,2.0,2.0,12.0,0.5,63547,36,1160,10741,2.0,10.0,10.246888020833333,1.0,4.800000000000001,19.0,10.0,2.06001953125,1.0,45.599999999999994,14.0,10.0,2.36984375,1.0,33.599999999999994,2.0,3,False
19090,nsrdb_19090_clean.npz,False,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,36,1232,9642,0.0,9.999791666666667,nan,0.0,0.0,19.0,9.999791666666667,2.0318315972222223,1.0,45.60095001979208,16.0,9.999791666666667,3.1130403645833336,1.0,38.40080001666701,2.0,3,False
19093,nsrdb_19093_clean.npz,False,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,36,996,8275,0.0,9.999776475694444,nan,0.0,0.0,19.0,9.999776475694444,2.026657986111111,1.0,45.60101929361702,14.0,9.999776475694444,2.0505881076388888,1.0,33.60075105845465,2.0,3,False
19140,nsrdb_19140_clean.npz,False,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,36,1356,10419,1.0,9.999954427083333,5.207732204861111,1.0,2.4000109375498457,20.0,9.999954427083333,2.011547309027778,1.0,48.00021875099691,16.0,9.999954427083333,2.005783420138889,1.0,38.40017500079753,2.0,3,False
19830,nsrdb_19830_clean.npz,False,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,36,1552,13436,7.0,9.99998046875,2.027445746527778,1.0,16.80003281256409,19.0,9.99998046875,2.027604166666667,1.0,45.60008906267395,18.0,9.99998046875,2.043587239583333,1.0,43.2000843751648,2.0,3,False
